Source	Left	Target	Right	Type	Subject	Order	Arg0_gram	Verb_fin	Verb_gram	Obj	Arg1	Arg1_gram	Arg1_anim	Has_arg2	Arg2	Arg2_gram	Direct_meaning	Fact
	и лег на землю: он был уверен, что в безбожника	молния ударит обязательно.		nom_prep	1	X молния ударить	nom	1	V,пе=непрош,ед,изъяв,3-л,сов	0	в безбожника	в+acc	1	0			1	0
	― говорил его взгляд. Волка как	молнией ударило. Ему показалось ― этот взгляд был устремлён на него…		ins_acc	0	X молния ударить	ins	1	V,пе=прош,ед,изъяв,сред,сов	1	Волка	acc	1	0			0	0
	Невесть откуда взявшаяся	молния ударила Митю в голову, выжгла язык и, не опалив даже		nom_acc	1	молния ударить X	nom	1	V,пе=прош,ед,изъяв,жен,сов	1	Митю	acc	1	1	в голову	в+acc	1	1
	В 1918 году	молния ударила американского майора Саммеpфоpда, свалив его с лошади.		nom_acc	1	молния ударить X	nom	1	V,пе=прош,ед,изъяв,жен,сов	1	майора	acc	1	0			1	1
	И в очередной раз сверкнувшая над гоночной трассой	молния судьбы ударила прямо в Алессандро, испепелив его ноги.		nom_prep	1	молния ударить X	nom	1	V,пе=прош,ед,изъяв,жен,сов	0	в Алессандро	в+acc	1	0			1	1
	Ее в детстве	молнией ударило, а потом ей дух грома кусочек жести подарил, чтоб		ins_acc	0	X молния ударить	ins	1	V,пе=прош,ед,изъяв,сред,сов	1	Ее	acc	1	0			1	1
	Но уверяю вас, если бы эта	молния ударила и в меня тоже, я бы закричал, конечно, потому		nom_prep	1	молния ударить X	nom	1	V,пе=прош,ед,изъяв,жен,сов	0	в меня	в+acc	1	0			1	0
	что-нибудь узнать о жизни исчезнувшей незнакомки, но тут меня словно	молния ударила!		nom_acc	1	X молния ударить	nom	1	V,пе=прош,ед,изъяв,жен,сов	1	меня	acc	1	0			0	0
	Тут меня как	молнией ударило, прямо пронзило!		ins_acc	0	X молния ударить	ins	1	V,пе=прош,ед,изъяв,сред,сов	1	меня	acc	1	0			0	0
	В эту минуту с высот от повернувшейся где-то ставни сорвалась	молния и ударила мальчика в глаза.		nom_acc	1	молния ударить X	nom	1	V,пе=прош,ед,изъяв,жен,сов	1	мальчика	acc	1	1	в глаза	в+acc	1	1
	Таня схватилась за полоз. Точно	молния ударила ее по глазам. Она на секунду ослепла.		nom_acc	1	молния ударить X	nom	1	V,пе=прош,ед,изъяв,жен,сов	1	ее	acc	1	1	по глазам	по+dat	0	0
	Молодого физика в грозу	ударила молния ― через месяц он блестяще защитил диссертацию.		nom_acc	1	X ударить молния	nom	1	V,пе=прош,ед,изъяв,жен,сов	1	физика	acc	1	0			1	1
	гостить к сестре в Кодыму, и её во время грозы	ударило молнией; её откачивали, засыпали землёй, и она два часа лежала		ins_acc	0	X ударить молния	ins	1	V,пе=прош,ед,изъяв,сред,сов	1	её	acc	1	0			1	1
	Даже не потому, что в них может	ударить молния и задеть палатку.		nom_prep	1	X ударить молния	nom	1	V,пе=инф,сов	0	в них	в+acc	1	0			1	0
	Даже если в вас	ударит молния ― и то это кому-нибудь будет выгодно.		nom_prep	1	X ударить молния	nom	1	V,пе=непрош,ед,изъяв,3-л,сов	0	в вас	в+acc	1	0			1	0
	парила над головами и неожиданно вспыхнула, как будто в нее	ударила молния.		nom_prep	1	X ударить молния	nom	1	V,пе=прош,ед,изъяв,жен,сов	0	в нее	в+acc	1	0			0	0
	разорвана на сотни ленточек, лицо обожжено. Говорили, что в меня	ударила молния. Целую неделю я не приходил в себя, а когда		nom_prep	1	X ударить молния	nom	1	V,пе=прош,ед,изъяв,жен,сов	0	в меня	в+acc	1	0			1	0
	Кстати, задолго до этого его	ударила молния и, опалив, умертвила часть его ветвей, обращенных к востоку		nom_acc	1	X ударить молния	nom	1	V,пе=прош,ед,изъяв,жен,сов	1	его	acc	1	0			1	1
	как бы окаменевший в тот самый миг, когда Родионцева щелкнуло,	ударило маленькой молнией, а ее, бывшую рядом, нет.		ins_acc	0	X ударить молния	ins	1	V,пе=прош,ед,изъяв,сред,сов	1	Родионцева	acc	1	0			1	1
	Волшебный художник остановился, как будто в него	ударила молния.		nom_prep	1	X ударить молния	nom	1	V,пе=прош,ед,изъяв,жен,сов	0	в него	в+acc	1	0			0	0
	ожидал, что сию же секунду разверзнется потолок и в него	ударит молния.		nom_prep	1	X ударить молния	nom	1	V,пе=непрош,ед,изъяв,3-л,сов	0	в него	в+acc	1	0			1	0
	― С отцом случилось несчастье, в него	ударила молния, и он лежит весь опаленный в лесу.		nom_prep	1	X ударить молния	nom	1	V,пе=прош,ед,изъяв,жен,сов	0	в него	в+acc	1	0			1	1
	близлежащей деревеньки Бор говорят, что в то же время как	молния ударила в учителя, в окрестностях творилось нечто невообразимое, аномальное: ―Огромный		nom_prep	1	молния ударить X	nom	1	V,пе=прош,ед,изъяв,жен,сов	0	в учителя	в+acc	1	0			1	0
	После очередного разряда,	молния ударила в одну из женщин.		nom_prep	1	молния ударить X	nom	1	V,пе=прош,ед,изъяв,жен,сов	0	в одну из женщин.	в+acc	1	0			1	1
	Когда Калина не забил пенальти, всех как будто	молнией ударило.		ins_acc	0	X молния ударить	ins	1	V,пе=прош,ед,изъяв,сред,сов	1	всех	acc	1	0			0	0
	Темное небо вспыхнуло, и раздался страшный грохот. - Похоже,	молнией нас ударило! - Командир мгновенно связался с Московским центром управления воздушным		ins_acc	0	молния X ударить	ins	1	V,пе=прош,ед,изъяв,сред,сов	1	нас	acc	1	0			1	0
	А	молния, притянутая мобильником, ударит именно в него.		nom_prep	1	молния ударить X	nom	1	V,пе=непрош,ед,изъяв,3-л,сов	0	в него	в+acc	1	0			1	0
	свою очередь, припоминает пациента―Барри Смита из Монтаны, в которого	молния ударила, когда он ехал верхом.		nom_prep	1	X молния ударить	nom	1	V,пе=прош,ед,изъяв,жен,сов	0	в которого	в+acc	1	0			1	1
	Предположительно,	молния ударила в 36-летнего мужчину, когда он купался в водохранилище		nom_prep	1	молния ударить X	nom	1	V,пе=прош,ед,изъяв,жен,сов	0	в 36-летнего мужчину	в+acc	1	0			1	1
	А захватчик, наверное, подумал, что в него	ударила молния — именно такой эффект производит этот полицейский гаджет.		nom_prep	1	X ударить молния	nom	1	V,пе=прош,ед,изъяв,жен,сов	0	в него	в+acc	1	0			1	0
	В небе громыхнуло, и мужчину	ударило молнией.		ins_acc	0	X ударить молния	ins	1	V,пе=прош,ед,изъяв,сред,сов	1	мужчину	acc	1	0			1	1
	данным Национальной погодной службы США, вероятность того, что в человека	ударит молния, невелика: максимум 1 к 600 000.		nom_prep	1	X ударить молния	nom	1	V,пе=непрош,ед,изъяв,3-л,сов	0	в человека	в+acc	1	0			1	0
	В Николая	ударила молния и тут же пожалела об этом.		nom_prep	1	X ударить молния	nom	1	V,пе=прош,ед,изъяв,жен,сов	0	В Николая	в+acc	1	0			1	1
	исправного телефона у него есть еще одна особенность — как-то Ника	ударило молнией.		ins_acc	0	X ударить молния	ins	1	V,пе=прош,ед,изъяв,сред,сов	1	Ника	acc	1	0			1	1
	приходил в себя через два дня после того, как его	ударила молния.		nom_acc	1	X ударить молния	nom	1	V,пе=прош,ед,изъяв,жен,сов	1	его	acc	1	0			1	1
	приехать машина и довезти до деревни,―вспоминает Сагит, которого тоже	ударило молнией.		ins_acc	0	X ударить молния	ins	1	V,пе=прош,ед,изъяв,сред,сов	1	которого	acc	1	0			1	1
	Марину спас нательный крест») Во время грозы в Марину Мотыгину	ударила молния.		nom_prep	1	X ударить молния	nom	1	V,пе=прош,ед,изъяв,жен,сов	0	в Марину Мотыгину	в+acc	1	0			1	1
	Согласно подсчетам ученых, шанс, что в обычного человека	ударит молния,―один на два миллиона.		nom_prep	1	X ударить молния	nom	1	V,пе=непрош,ед,изъяв,3-л,сов	0	в обычного человека	в+acc	1	0			1	0
	тот момент, когда отец срубил голову своей дочери, в него	ударила молния и сожгла дотла.		nom_prep	1	X ударить молния	nom	1	V,пе=прош,ед,изъяв,жен,сов	0	в него	в+acc	1	0			1	1
	Что спасло жизнь мальчикам, в которых	ударила молния?		nom_prep	1	X ударить молния	nom	1	V,пе=прош,ед,изъяв,жен,сов	0	в которых	в+acc	1	0			1	1
	При восхождении в них	ударила молния, один погиб, остальные получили тяжелые ранения.		nom_prep	1	X ударить молния	nom	1	V,пе=прош,ед,изъяв,жен,сов	0	в них	в+acc	1	0			1	1
	На третьей же странице «Камина для Снегурочки» Дашу	ударила молния, и она потеряла память…		nom_acc	1	X ударить молния	nom	1	V,пе=прош,ед,изъяв,жен,сов	1	Дашу	acc	1	0			1	1
	На Голгофе в него	ударила молния, но не повредила ему ничуть.		nom_prep	1	X ударить молния	nom	1	V,пе=прош,ед,изъяв,жен,сов	0	в него	в+acc	1	0			1	1
	поднялись над морем на высоту 11 тысяч метров, в нас	ударила молния.		nom_prep	1	X ударить молния	nom	1	V,пе=прош,ед,изъяв,жен,сов	0	в нас	в+acc	1	0			1	1
	1998 году в 33-летнюю англичанку Ники Хайд-Палли	ударила молния, что сравнимо с электрическим разрядом в несколько тысяч или		nom_prep	1	X ударить молния	nom	1	V,пе=прош,ед,изъяв,жен,сов	0	в 33-летнюю англичанку	в+acc	1	0			1	1
	Когда мы оказались рядом, меня будто	ударило молнией,―вспоминал Буре-младший,―она снималась в сериалах в		ins_acc	0	X ударить молния	ins	1	V,пе=прош,ед,изъяв,сред,сов	1	меня	acc	1	0			0	0
	Но в этот момент в Дениса	ударила молния.		nom_prep	1	X ударить молния	nom	1	V,пе=прош,ед,изъяв,жен,сов	0	в Дениса	в+acc	1	0			1	1
